Age,Gender,EmploymentStatus,MonthlyIncome,Education,FlightsPerYear,TravelPurpose,AvgSpendPerFlight,Class,AirlinePrefReason,ValuedServices,PainPoints,BundledOfferInterest,PersonalizationImportance,CustomizableServices,BookingDevice,TechComfortLevel,AppUsage,DataSharingConsent,WillingToUsePersonalizationApp,WillingToPayExtra,PercentWillingToSpendMore,RecommendsInAppOffers,TrustsAirlinesWithData,WillRecommendToOthers
40,Female,Self-employed,500,Master’s,5-8,Other,385,Business,Pricing,Entertainment,"Poor customer service, Limited amenities",Yes,4,"Boarding experience, Others, Entertainment",Website,5,No,Maybe,Maybe,Yes,5,Yes,No,Yes
36,Male,Unemployed,5088,Bachelor’s,5-8,Business,627,Economy,Service,"WiFi, Cleanliness, Food","Baggage loss, Limited amenities",Yes,3,"Others, Boarding experience",App,4,No,No,Yes,Yes,5,Yes,No,Yes
42,Female,Student,1526,High school,2-4,Family,366,First Class,Others,"Cleanliness, Others, Entertainment","Lack of customization, Limited amenities",No,4,"Boarding experience, Meals",Website,2,No,Yes,Yes,No,10,Yes,Yes,Yes
36,Other,Self-employed,998,Doctorate,2-4,Leisure,424,Business,Service,"Others, Cleanliness","Limited amenities, Baggage loss, Lack of customization",Yes,1,Entertainment,Agent,2,No,No,Yes,Yes,5,Yes,Maybe,Yes
25,Other,Self-employed,2970,Bachelor’s,5-8,Other,482,Premium Economy,Others,"WiFi, Others, Legroom","Baggage loss, Poor customer service",No,2,Others,Agent,5,No,Maybe,No,No,10,No,Maybe,Yes
36,Prefer not to say,Self-employed,7958,Doctorate,0-1,Leisure,580,Economy,Brand,Legroom,"Baggage loss, Poor customer service, Expensive tickets",Yes,3,Boarding experience,Agent,2,Yes,No,Yes,Yes,15,Yes,Maybe,Yes
38,Prefer not to say,Student,1947,Other,9+,Leisure,300,First Class,Brand,Cleanliness,"Poor customer service, Baggage loss",No,3,"Entertainment, Seats",Website,3,No,No,Maybe,Yes,5,Yes,Maybe,No
22,Prefer not to say,Unemployed,1960,Master’s,2-4,Other,520,First Class,Service,Food,Expensive tickets,No,5,"Seats, Boarding experience",Website,1,Yes,No,No,No,5,No,Yes,No
29,Female,Employed,1989,Bachelor’s,9+,Family,441,First Class,Pricing,"Others, Customer Service, Entertainment","Lack of customization, Poor customer service",Yes,1,Meals,Website,3,No,Yes,No,No,5,No,Yes,No
23,Female,Student,3464,High school,5-8,Other,346,Economy,Others,"Customer Service, Legroom, Others","Expensive tickets, Poor customer service",Yes,3,"Others, Boarding experience, Seats",Website,2,Yes,Yes,Yes,Yes,0,Yes,No,Yes
39,Female,Student,3065,Master’s,5-8,Other,377,Business,Pricing,"Entertainment, Customer Service, WiFi","Baggage loss, Limited amenities, Delays",Yes,5,"Entertainment, Others",Website,3,Yes,Maybe,Yes,Yes,10,Yes,Yes,Yes
29,Female,Retired,945,Master’s,5-8,Other,447,First Class,Brand,"WiFi, Food",Lack of customization,Yes,2,"Boarding experience, Others, Seats",Website,4,Yes,Yes,Maybe,Yes,0,No,No,No
34,Other,Employed,1794,Doctorate,5-8,Leisure,645,Business,Pricing,Food,Limited amenities,Yes,2,"Meals, Others",App,1,No,Maybe,No,Yes,10,Yes,Yes,No
40,Prefer not to say,Student,5442,Bachelor’s,0-1,Business,234,Economy,Loyalty Program,Entertainment,Delays,No,1,Seats,Agent,2,Yes,Yes,No,Yes,5,Yes,Yes,No
27,Other,Self-employed,3051,Bachelor’s,2-4,Business,284,Economy,Others,Customer Service,Limited amenities,Yes,3,Boarding experience,App,1,Yes,Maybe,Maybe,No,15,No,Maybe,Yes
37,Prefer not to say,Student,666,Bachelor’s,5-8,Other,469,First Class,Service,"Legroom, WiFi","Delays, Poor customer service",Yes,5,Check-in process,Website,3,Yes,Yes,Yes,Yes,5,No,No,Yes
56,Prefer not to say,Retired,16811,Doctorate,2-4,Other,218,Business,Loyalty Program,"Others, WiFi","Limited amenities, Expensive tickets",Yes,1,"Check-in process, Seats, Others",Website,5,Yes,Yes,Yes,Yes,10,No,Maybe,Yes
51,Male,Employed,3628,High school,5-8,Leisure,414,Business,Service,"WiFi, Food, Legroom, Customer Service","Limited amenities, Lack of customization",No,4,"Check-in process, Boarding experience",Website,4,No,Yes,No,Yes,20,Yes,No,No
28,Prefer not to say,Employed,3808,Bachelor’s,0-1,Business,261,Economy,Pricing,"Cleanliness, WiFi, Food, Legroom","Limited amenities, Expensive tickets, Baggage loss",No,5,"Seats, Others, Check-in process",Website,2,No,Maybe,Yes,Yes,10,No,Maybe,Yes
33,Other,Retired,1644,Other,0-1,Business,597,First Class,Pricing,"Legroom, Entertainment, Others, Customer Service","Delays, Limited amenities",Yes,5,"Entertainment, Meals, Check-in process",Website,2,No,Maybe,Yes,Yes,15,No,Maybe,Yes
22,Prefer not to say,Unemployed,4254,Bachelor’s,0-1,Other,352,Business,Loyalty Program,"Customer Service, Cleanliness, Entertainment, Others","Delays, Limited amenities",Yes,2,"Entertainment, Boarding experience",App,3,No,Yes,Yes,Yes,20,No,No,Yes
47,Other,Student,3212,Bachelor’s,2-4,Leisure,287,Business,Others,Cleanliness,Expensive tickets,Yes,3,Seats,Agent,3,Yes,No,No,No,15,No,No,Yes
37,Prefer not to say,Retired,3200,High school,5-8,Other,377,First Class,Brand,Others,"Delays, Baggage loss",No,4,"Others, Entertainment, Meals",Agent,3,No,No,Yes,Yes,10,Yes,Maybe,Yes
27,Female,Self-employed,1003,Master’s,0-1,Family,413,First Class,Service,Cleanliness,"Delays, Lack of customization, Expensive tickets",No,1,"Boarding experience, Check-in process, Others",App,3,Yes,Maybe,Maybe,No,5,No,Maybe,No
42,Female,Unemployed,1344,Doctorate,5-8,Other,100,Premium Economy,Pricing,"Customer Service, Legroom",Limited amenities,No,3,"Boarding experience, Others, Check-in process",Agent,1,Yes,No,Yes,Yes,10,Yes,Maybe,Yes
34,Other,Unemployed,12009,High school,2-4,Other,342,Business,Brand,"Entertainment, Cleanliness","Baggage loss, Poor customer service, Limited amenities",Yes,2,Seats,App,3,No,No,Yes,Yes,20,No,No,Yes
39,Male,Employed,3122,Bachelor’s,5-8,Leisure,385,Economy,Brand,"Cleanliness, Customer Service, Food","Delays, Poor customer service, Limited amenities",Yes,1,"Boarding experience, Entertainment",App,4,No,Maybe,No,Yes,15,No,Maybe,Yes
37,Female,Student,3482,Other,0-1,Family,323,First Class,Pricing,"Customer Service, WiFi","Expensive tickets, Lack of customization",No,2,"Meals, Others",App,2,Yes,No,Yes,Yes,5,No,Maybe,Yes
32,Male,Unemployed,3804,Other,5-8,Business,265,Business,Others,"Legroom, Cleanliness, Food, Entertainment",Expensive tickets,No,3,"Seats, Boarding experience",App,1,Yes,No,Yes,Yes,20,No,Maybe,Yes
45,Other,Student,3712,Other,2-4,Other,769,First Class,Pricing,"Entertainment, Others, WiFi, Food","Baggage loss, Limited amenities",No,3,"Check-in process, Seats, Entertainment",App,4,No,Maybe,Yes,Yes,15,No,Maybe,Yes
31,Prefer not to say,Student,3015,Bachelor’s,5-8,Business,203,Business,Loyalty Program,"Legroom, Cleanliness, WiFi",Limited amenities,Yes,4,"Meals, Seats, Check-in process",App,3,No,Maybe,Yes,Yes,0,Yes,Yes,Yes
28,Female,Retired,2719,Doctorate,5-8,Other,476,First Class,Service,"Food, Cleanliness, Customer Service","Expensive tickets, Baggage loss",Yes,4,"Meals, Check-in process",Website,5,Yes,Yes,Maybe,Yes,5,Yes,No,Yes
35,Other,Employed,3096,High school,9+,Other,103,Business,Service,Entertainment,Lack of customization,Yes,1,"Boarding experience, Check-in process, Others",Agent,4,Yes,Yes,No,Yes,0,No,No,No
22,Prefer not to say,Employed,3899,Doctorate,2-4,Leisure,255,Business,Service,"Food, Legroom, Others, WiFi","Expensive tickets, Baggage loss",No,2,"Boarding experience, Check-in process",App,1,No,Yes,Maybe,No,0,Yes,Maybe,No
39,Prefer not to say,Retired,2679,Master’s,0-1,Business,623,Economy,Pricing,"Food, Legroom, Entertainment","Limited amenities, Lack of customization, Delays",Yes,3,"Boarding experience, Check-in process, Entertainment",Website,3,Yes,Maybe,Yes,Yes,20,No,Yes,Yes
36,Prefer not to say,Self-employed,9368,Bachelor’s,0-1,Family,315,First Class,Service,"WiFi, Entertainment, Others",Poor customer service,No,3,"Entertainment, Others",Agent,3,No,No,Maybe,No,0,No,Yes,No
30,Male,Employed,2079,Bachelor’s,0-1,Leisure,354,Premium Economy,Pricing,"Entertainment, Food, Legroom, Customer Service",Poor customer service,Yes,4,"Others, Boarding experience",Website,4,No,Yes,Maybe,Yes,0,Yes,No,Yes
36,Female,Self-employed,3004,Bachelor’s,2-4,Family,169,Premium Economy,Others,Customer Service,"Baggage loss, Poor customer service, Delays",Yes,4,"Seats, Entertainment, Others",Website,1,No,No,Yes,Yes,10,Yes,No,Yes
44,Female,Student,500,High school,9+,Other,540,First Class,Brand,Entertainment,Limited amenities,No,3,"Others, Boarding experience, Meals",App,1,No,No,No,Yes,15,No,Yes,No
21,Other,Employed,2662,Bachelor’s,9+,Business,581,Economy,Service,"Legroom, Others","Limited amenities, Baggage loss",Yes,3,"Check-in process, Entertainment",Agent,5,Yes,No,No,No,10,Yes,No,No
31,Prefer not to say,Unemployed,2135,Master’s,9+,Business,100,First Class,Brand,"Legroom, Cleanliness","Delays, Limited amenities",No,4,"Meals, Others, Check-in process",Agent,5,Yes,No,Yes,Yes,5,No,No,Yes
29,Female,Employed,3587,Master’s,2-4,Other,250,Business,Others,Customer Service,Delays,Yes,5,"Check-in process, Seats",Website,5,No,No,Yes,Yes,10,Yes,Maybe,Yes
34,Male,Student,4794,Doctorate,2-4,Leisure,376,First Class,Pricing,Legroom,"Expensive tickets, Limited amenities, Poor customer service",No,5,"Entertainment, Meals",App,2,Yes,Maybe,Maybe,No,5,Yes,No,Yes
30,Male,Unemployed,1672,High school,0-1,Leisure,100,First Class,Loyalty Program,"Others, Cleanliness, Customer Service, Legroom","Lack of customization, Limited amenities",No,4,"Seats, Meals",App,1,Yes,Yes,Maybe,Yes,5,Yes,Yes,No
30,Female,Employed,5206,Doctorate,2-4,Business,368,Business,Loyalty Program,"Legroom, Others",Delays,Yes,2,"Others, Check-in process, Boarding experience",Website,1,No,Maybe,Yes,Yes,20,No,Maybe,Yes
28,Prefer not to say,Student,4559,Master’s,0-1,Business,160,First Class,Loyalty Program,"Cleanliness, Customer Service, Others, Entertainment",Poor customer service,No,4,"Boarding experience, Others, Check-in process",App,1,Yes,No,Yes,Yes,15,Yes,No,Yes
30,Prefer not to say,Unemployed,6235,High school,9+,Family,309,First Class,Loyalty Program,Food,"Limited amenities, Baggage loss",No,3,"Meals, Boarding experience",App,5,No,Maybe,Maybe,No,15,Yes,No,No
48,Prefer not to say,Self-employed,5342,Doctorate,2-4,Leisure,221,Business,Pricing,"Food, Others, Cleanliness, Customer Service","Poor customer service, Delays, Limited amenities",No,3,Meals,Agent,1,Yes,No,Maybe,No,10,Yes,Yes,Yes
35,Male,Self-employed,6020,Doctorate,0-1,Leisure,420,Economy,Others,"Legroom, Entertainment","Expensive tickets, Delays",No,2,"Boarding experience, Others, Seats",Agent,1,No,No,Maybe,Yes,0,Yes,Maybe,Yes
31,Male,Retired,3277,High school,2-4,Business,279,Premium Economy,Brand,"Cleanliness, Entertainment","Poor customer service, Lack of customization, Limited amenities",Yes,2,"Entertainment, Others, Meals",App,2,No,No,No,Yes,5,Yes,No,No
47,Other,Retired,4800,Bachelor’s,0-1,Family,301,Business,Loyalty Program,"Cleanliness, Others, Food",Lack of customization,No,2,Check-in process,Website,4,No,Maybe,No,No,0,Yes,No,Yes
46,Male,Retired,4078,High school,0-1,Family,491,Business,Loyalty Program,"Legroom, WiFi","Delays, Baggage loss",Yes,5,"Check-in process, Others",Agent,5,No,Maybe,No,No,5,Yes,No,Yes
48,Prefer not to say,Unemployed,2515,Bachelor’s,9+,Family,362,First Class,Service,"WiFi, Others, Customer Service","Poor customer service, Baggage loss",No,2,Boarding experience,Agent,3,No,Maybe,Yes,Yes,15,No,Yes,Yes
39,Other,Unemployed,6247,Other,0-1,Business,618,Business,Brand,"WiFi, Others, Cleanliness","Expensive tickets, Lack of customization",Yes,4,"Meals, Boarding experience",Agent,5,Yes,No,Yes,Yes,10,Yes,Maybe,Yes
52,Prefer not to say,Retired,3807,Bachelor’s,0-1,Family,560,Premium Economy,Brand,"WiFi, Food, Legroom, Customer Service",Delays,Yes,4,Check-in process,App,4,Yes,No,No,No,5,No,No,No
24,Prefer not to say,Unemployed,500,Doctorate,9+,Leisure,486,Premium Economy,Others,"Legroom, Cleanliness","Baggage loss, Lack of customization",Yes,2,"Check-in process, Seats",Agent,2,No,Yes,No,No,5,Yes,Yes,No
36,Other,Student,2668,Other,2-4,Business,358,Business,Brand,"Entertainment, Others, Legroom",Baggage loss,Yes,5,"Seats, Entertainment",Website,2,Yes,Maybe,Yes,Yes,10,No,Yes,Yes
43,Male,Unemployed,2125,Doctorate,5-8,Other,525,Business,Loyalty Program,"Others, Cleanliness, Customer Service, Food",Lack of customization,No,4,"Check-in process, Meals, Entertainment",App,5,No,No,Yes,No,5,No,Maybe,Yes
26,Male,Unemployed,3736,Master’s,0-1,Leisure,510,Economy,Others,"Customer Service, Cleanliness, WiFi","Lack of customization, Delays, Baggage loss",Yes,5,"Meals, Check-in process, Seats",App,5,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes
36,Prefer not to say,Student,3811,Other,5-8,Other,385,Economy,Loyalty Program,Entertainment,"Baggage loss, Poor customer service",Yes,5,"Check-in process, Entertainment",App,1,Yes,Maybe,Yes,Yes,10,Yes,Yes,Yes
34,Other,Student,2207,Bachelor’s,5-8,Other,487,Premium Economy,Pricing,"Food, WiFi, Cleanliness","Poor customer service, Delays",No,2,"Entertainment, Others",Website,1,Yes,Yes,Yes,Yes,15,No,Maybe,Yes
38,Prefer not to say,Student,5553,Master’s,0-1,Family,115,First Class,Others,"WiFi, Legroom, Others, Cleanliness","Baggage loss, Delays, Expensive tickets",Yes,2,"Others, Meals, Entertainment",Agent,4,No,Yes,Maybe,Yes,10,Yes,No,Yes
35,Female,Retired,4130,Doctorate,9+,Business,457,Economy,Loyalty Program,"Cleanliness, Food, WiFi",Poor customer service,No,5,"Others, Check-in process",Website,2,No,Yes,Yes,Yes,15,Yes,No,Yes
33,Male,Unemployed,1163,High school,2-4,Family,524,First Class,Service,"Cleanliness, Entertainment, Others","Poor customer service, Expensive tickets, Baggage loss",No,3,Check-in process,Agent,3,Yes,Maybe,Yes,Yes,20,No,Yes,Yes
25,Male,Employed,2686,Doctorate,9+,Other,272,Economy,Pricing,Others,"Poor customer service, Delays, Expensive tickets",No,5,"Check-in process, Meals",Agent,1,Yes,No,Yes,Yes,5,No,Yes,Yes
51,Female,Student,3592,Master’s,5-8,Leisure,322,Economy,Others,"Others, Cleanliness, Food",Poor customer service,No,1,"Check-in process, Boarding experience",App,1,Yes,Maybe,Yes,Yes,15,No,Maybe,Yes
23,Prefer not to say,Employed,2798,Other,2-4,Leisure,402,Economy,Others,"Cleanliness, WiFi",Expensive tickets,Yes,5,"Entertainment, Meals, Seats",Agent,5,No,Maybe,Yes,No,0,Yes,No,Yes
27,Male,Self-employed,11381,Doctorate,5-8,Business,182,First Class,Loyalty Program,"Customer Service, WiFi, Food",Expensive tickets,No,5,"Entertainment, Seats",Website,2,No,Yes,Maybe,Yes,0,Yes,Maybe,No
23,Male,Employed,9775,Master’s,5-8,Business,344,Economy,Pricing,"Legroom, WiFi, Customer Service, Entertainment","Baggage loss, Delays",No,2,"Seats, Entertainment",Agent,2,Yes,Maybe,No,Yes,5,No,Maybe,Yes
52,Male,Student,2400,High school,9+,Family,145,Economy,Service,Others,"Delays, Expensive tickets",No,1,Others,App,5,Yes,No,Maybe,No,5,Yes,Maybe,No
49,Female,Retired,711,Other,0-1,Other,589,First Class,Loyalty Program,"Customer Service, Others, WiFi, Entertainment","Limited amenities, Delays, Poor customer service",No,5,Seats,App,1,Yes,Maybe,No,Yes,0,Yes,Maybe,No
29,Other,Unemployed,6837,Doctorate,9+,Leisure,418,Premium Economy,Service,WiFi,Expensive tickets,No,5,"Entertainment, Others, Meals",App,4,No,Maybe,Yes,Yes,10,No,Yes,Yes
28,Female,Student,6092,Bachelor’s,0-1,Other,581,Business,Service,"Cleanliness, Food",Expensive tickets,Yes,4,"Others, Check-in process, Entertainment",Agent,5,No,Maybe,Yes,Yes,15,No,Yes,Yes
42,Male,Unemployed,2173,High school,9+,Leisure,567,Economy,Service,"Legroom, Customer Service",Baggage loss,No,3,"Check-in process, Meals, Others",App,1,No,Yes,Yes,Yes,10,Yes,Yes,Yes
28,Other,Unemployed,3132,Bachelor’s,5-8,Business,621,Economy,Service,"Entertainment, Food",Expensive tickets,Yes,3,"Meals, Others, Boarding experience",App,2,No,Yes,Yes,Yes,0,Yes,No,Yes
27,Male,Self-employed,500,Bachelor’s,5-8,Other,472,Premium Economy,Brand,"Cleanliness, Food, Customer Service","Poor customer service, Delays, Lack of customization",Yes,2,Meals,Agent,4,No,No,Yes,Yes,10,Yes,Maybe,Yes
21,Female,Retired,1463,Master’s,2-4,Family,678,Premium Economy,Pricing,"Others, Food, Customer Service","Poor customer service, Baggage loss, Delays",No,5,Meals,Agent,4,No,No,Yes,Yes,15,No,Maybe,Yes
32,Other,Retired,1560,Doctorate,9+,Other,579,Business,Others,"Cleanliness, Customer Service, WiFi, Food",Baggage loss,No,2,"Meals, Entertainment",Website,4,Yes,No,Yes,Yes,10,Yes,Yes,Yes
18,Other,Unemployed,2266,Other,5-8,Leisure,232,Economy,Loyalty Program,"Legroom, Others, Cleanliness","Poor customer service, Expensive tickets",No,3,"Check-in process, Seats",App,4,Yes,No,No,No,0,Yes,No,Yes
36,Other,Employed,500,High school,0-1,Business,554,Business,Pricing,"Entertainment, Food","Expensive tickets, Limited amenities, Lack of customization",No,2,"Boarding experience, Meals, Entertainment",App,3,No,No,No,No,15,No,Maybe,Yes
33,Prefer not to say,Retired,3770,Bachelor’s,9+,Leisure,320,Premium Economy,Service,"Food, Customer Service, Cleanliness, Legroom","Poor customer service, Expensive tickets, Delays",No,2,"Others, Check-in process",App,4,No,Maybe,Yes,Yes,5,Yes,Maybe,Yes
34,Female,Self-employed,5658,High school,9+,Family,535,Business,Service,"Legroom, Cleanliness, Others, Entertainment","Lack of customization, Delays",Yes,2,Entertainment,Agent,5,No,No,Yes,Yes,0,No,Yes,Yes
42,Prefer not to say,Employed,1502,Doctorate,0-1,Family,445,First Class,Brand,Food,Limited amenities,Yes,1,"Boarding experience, Check-in process, Seats",App,2,Yes,No,Yes,Yes,10,No,Maybe,Yes
33,Male,Unemployed,2694,High school,5-8,Business,453,Premium Economy,Brand,"Legroom, Food, WiFi, Cleanliness","Poor customer service, Limited amenities, Delays",No,2,Meals,Website,4,No,Yes,No,No,5,Yes,Maybe,No
32,Other,Employed,4370,High school,2-4,Other,279,Economy,Loyalty Program,"Customer Service, Entertainment","Poor customer service, Limited amenities, Lack of customization",Yes,1,"Others, Check-in process",Website,3,No,Maybe,Maybe,Yes,15,No,Yes,Yes
34,Prefer not to say,Unemployed,1879,Doctorate,2-4,Business,415,First Class,Pricing,"Others, Food","Limited amenities, Lack of customization",No,1,"Others, Meals, Check-in process",Website,5,Yes,No,Yes,Yes,5,No,No,Yes
23,Prefer not to say,Employed,4105,Master’s,2-4,Business,357,First Class,Pricing,Cleanliness,"Limited amenities, Poor customer service, Lack of customization",No,4,Check-in process,App,1,No,Yes,No,Yes,10,No,Maybe,No
35,Prefer not to say,Unemployed,3773,High school,0-1,Leisure,383,First Class,Service,"Others, Entertainment, Food, Customer Service",Lack of customization,Yes,2,"Seats, Boarding experience",Agent,4,Yes,Yes,No,Yes,5,No,Yes,No
28,Other,Employed,4191,Bachelor’s,0-1,Leisure,211,First Class,Pricing,Legroom,"Expensive tickets, Poor customer service, Delays",Yes,1,"Meals, Others",Website,2,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes
39,Other,Employed,2946,High school,2-4,Business,278,Premium Economy,Service,Legroom,"Delays, Expensive tickets, Lack of customization",Yes,5,Boarding experience,Website,4,Yes,Yes,Yes,No,0,No,Yes,Yes
31,Male,Unemployed,1898,Master’s,0-1,Other,278,Premium Economy,Loyalty Program,"WiFi, Cleanliness","Limited amenities, Lack of customization",No,1,Meals,Website,3,No,Yes,No,Yes,10,No,Yes,No
24,Prefer not to say,Employed,3092,Master’s,2-4,Family,355,First Class,Pricing,"WiFi, Customer Service, Cleanliness","Poor customer service, Lack of customization",Yes,5,"Others, Seats, Meals",App,5,Yes,No,Yes,Yes,10,No,Yes,Yes
36,Male,Student,1758,Bachelor’s,5-8,Other,412,Business,Service,"Legroom, Food","Delays, Baggage loss, Poor customer service",No,2,"Entertainment, Seats",Agent,4,No,Yes,Yes,No,5,No,Yes,Yes
39,Female,Retired,4355,High school,2-4,Leisure,665,First Class,Others,"Food, Legroom, WiFi",Poor customer service,Yes,2,Others,App,2,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes
24,Male,Unemployed,3031,Doctorate,5-8,Leisure,290,Premium Economy,Service,"Food, Customer Service, Others, Entertainment","Lack of customization, Poor customer service",Yes,3,"Seats, Entertainment",Website,4,Yes,No,Yes,Yes,5,No,Yes,Yes
28,Prefer not to say,Student,1801,Doctorate,9+,Business,574,Business,Others,"Customer Service, Cleanliness",Expensive tickets,No,4,"Check-in process, Entertainment",Website,5,No,Yes,Yes,No,10,Yes,Yes,Yes
27,Female,Student,3484,High school,5-8,Other,362,First Class,Loyalty Program,"Cleanliness, Entertainment, Legroom, Customer Service","Limited amenities, Lack of customization",Yes,4,Seats,Website,5,Yes,Yes,No,No,15,No,Maybe,No
32,Other,Student,2163,Doctorate,2-4,Leisure,390,First Class,Pricing,"Cleanliness, Others, WiFi","Limited amenities, Baggage loss, Expensive tickets",No,2,"Meals, Boarding experience",Agent,2,Yes,Yes,No,No,20,No,Maybe,Yes
27,Female,Unemployed,2729,Bachelor’s,9+,Family,878,Business,Others,"Customer Service, Entertainment, Legroom, WiFi",Limited amenities,No,2,"Others, Meals",Agent,4,No,Yes,Maybe,No,10,Yes,Yes,Yes
30,Prefer not to say,Retired,4722,Doctorate,5-8,Other,125,Premium Economy,Service,"Food, Cleanliness, Others",Poor customer service,Yes,5,Check-in process,Agent,2,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes
37,Other,Unemployed,5809,Doctorate,0-1,Leisure,562,Economy,Brand,Legroom,Expensive tickets,Yes,3,Boarding experience,App,4,No,Maybe,No,Yes,5,Yes,No,Yes
35,Male,Student,4279,Bachelor’s,0-1,Other,547,Business,Loyalty Program,"Others, Entertainment, Customer Service, Legroom","Expensive tickets, Limited amenities",No,2,"Others, Check-in process",Website,5,Yes,No,Maybe,Yes,5,Yes,No,No
41,Female,Student,2497,Other,0-1,Family,339,Premium Economy,Brand,"Customer Service, Cleanliness, Legroom, Others","Baggage loss, Delays, Expensive tickets",Yes,3,Others,Website,4,Yes,Maybe,Yes,Yes,15,No,No,Yes
25,Prefer not to say,Student,3635,Doctorate,5-8,Leisure,289,Premium Economy,Others,Food,"Delays, Expensive tickets",No,2,"Seats, Check-in process",Agent,5,Yes,Yes,Yes,Yes,15,Yes,Yes,Yes
37,Prefer not to say,Student,7045,Master’s,9+,Family,611,Premium Economy,Brand,"Cleanliness, WiFi, Food, Legroom",Limited amenities,No,2,"Boarding experience, Seats, Entertainment",Website,4,No,Yes,Yes,Yes,5,Yes,No,Yes
24,Male,Student,3642,High school,5-8,Leisure,221,Economy,Others,"Food, Entertainment, Legroom","Limited amenities, Delays, Expensive tickets",Yes,5,"Meals, Check-in process, Boarding experience",Website,3,Yes,Maybe,No,Yes,0,Yes,No,Yes
32,Prefer not to say,Self-employed,4781,Bachelor’s,5-8,Leisure,788,First Class,Loyalty Program,"Customer Service, Entertainment",Limited amenities,Yes,5,"Entertainment, Boarding experience",Agent,1,No,Maybe,Yes,Yes,15,Yes,No,Yes
36,Other,Unemployed,2470,High school,5-8,Leisure,440,Premium Economy,Service,Others,Poor customer service,No,3,"Meals, Seats, Check-in process",Website,4,No,No,No,No,10,Yes,Maybe,No
38,Other,Employed,1490,Other,9+,Business,570,Premium Economy,Brand,Others,"Expensive tickets, Poor customer service, Baggage loss",Yes,4,"Check-in process, Entertainment, Meals",App,2,Yes,Maybe,No,No,15,Yes,Maybe,Yes
18,Prefer not to say,Unemployed,2088,Bachelor’s,0-1,Business,325,Business,Loyalty Program,"WiFi, Others","Limited amenities, Expensive tickets, Poor customer service",Yes,4,Seats,App,2,No,No,Yes,Yes,0,No,Maybe,Yes
44,Male,Unemployed,4260,Doctorate,5-8,Other,482,Business,Pricing,WiFi,Delays,No,5,Seats,Agent,5,No,No,No,Yes,5,Yes,No,No
31,Prefer not to say,Self-employed,1616,Other,2-4,Business,514,Business,Pricing,"Legroom, Cleanliness",Poor customer service,No,1,"Boarding experience, Others, Seats",App,1,Yes,Maybe,No,Yes,10,No,No,Yes
47,Male,Employed,4497,Other,2-4,Leisure,335,Economy,Others,"Others, WiFi, Cleanliness",Lack of customization,No,3,"Meals, Check-in process, Seats",App,3,Yes,Maybe,Maybe,No,20,No,Yes,No
25,Other,Retired,3486,Master’s,2-4,Business,579,Economy,Service,Food,Expensive tickets,Yes,2,"Boarding experience, Meals, Entertainment",Website,2,No,Yes,Yes,Yes,0,No,No,Yes
23,Female,Unemployed,3424,Doctorate,0-1,Family,361,First Class,Service,"WiFi, Cleanliness","Expensive tickets, Baggage loss, Limited amenities",Yes,4,Entertainment,Website,4,Yes,Maybe,Yes,Yes,15,No,Yes,Yes
43,Male,Retired,981,Doctorate,0-1,Family,109,Economy,Brand,"Others, Entertainment, Food",Expensive tickets,Yes,1,"Meals, Check-in process",App,1,Yes,Maybe,No,No,5,No,Yes,No
36,Other,Retired,3770,Master’s,0-1,Business,426,Premium Economy,Brand,"Food, Entertainment, Customer Service, Legroom","Lack of customization, Baggage loss",No,1,"Boarding experience, Meals, Others",App,4,No,Yes,Maybe,No,15,Yes,Maybe,No
41,Prefer not to say,Employed,4664,Doctorate,5-8,Other,440,Business,Brand,"Customer Service, Cleanliness, Food, Entertainment","Delays, Expensive tickets, Poor customer service",No,1,"Seats, Others, Meals",App,2,Yes,Yes,No,No,10,Yes,No,Yes
41,Prefer not to say,Unemployed,2801,Other,0-1,Other,253,Economy,Others,"Others, Cleanliness",Limited amenities,No,5,"Entertainment, Meals, Seats",Agent,4,Yes,Maybe,Maybe,Yes,15,Yes,Yes,No
18,Female,Retired,11560,High school,9+,Other,371,First Class,Service,"WiFi, Entertainment, Food","Delays, Expensive tickets, Lack of customization",No,3,"Meals, Seats",Agent,5,No,Yes,Maybe,Yes,0,No,Maybe,No
25,Male,Self-employed,3497,High school,9+,Family,428,Business,Brand,WiFi,"Limited amenities, Baggage loss",No,3,Seats,Website,4,Yes,Yes,Yes,Yes,15,Yes,No,Yes
40,Male,Unemployed,2610,High school,2-4,Family,533,Premium Economy,Loyalty Program,"Entertainment, Others, Cleanliness, Legroom",Lack of customization,No,1,"Others, Check-in process",App,2,No,Maybe,Yes,No,5,Yes,Yes,Yes
29,Female,Self-employed,3550,High school,2-4,Other,675,First Class,Brand,Food,"Baggage loss, Poor customer service, Expensive tickets",Yes,4,"Boarding experience, Check-in process",Agent,2,No,No,Yes,Yes,5,No,Yes,Yes
34,Male,Student,2545,High school,2-4,Leisure,159,Business,Others,Others,"Baggage loss, Delays, Expensive tickets",No,5,"Seats, Check-in process, Boarding experience",Website,3,No,Yes,No,Yes,5,Yes,Maybe,Yes
